Reported Money Lost (AUD),Year,State
41515,2017,Australian Capital Territory
405945,2017,New South Wales
9302,2017,Northern Territory
285948,2017,Queensland
69407,2017,South Australia
47703,2017,Tasmania
225001,2017,Victoria
136561,2017,Western Australia
72955,2018,Australian Capital Territory
736640,2018,New South Wales
17443,2018,Northern Territory
550412,2018,Queensland
227350,2018,South Australia
34770,2018,Tasmania
551350,2018,Victoria
275592,2018,Western Australia
65300,2019,Australian Capital Territory
1009953,2019,New South Wales
73551,2019,Northern Territory
633156,2019,Queensland
230985,2019,South Australia
52000,2019,Tasmania
1034916,2019,Victoria
360647,2019,Western Australia
251718,2020,Australian Capital Territory
2040380,2020,New South Wales
52263,2020,Northern Territory
1426894,2020,Queensland
365899,2020,South Australia
146952,2020,Tasmania
2022630,2020,Victoria
463323,2020,Western Australia
